"Conversion ID","Click Date","Conversion Date","Recorded On",Advertiser,"Campaign Name","Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks,"Publisher Sub ID 2","Publisher Sub ID 3","Publisher Sub ID 4","Publisher Sub ID 5","Advertiser Sub ID 2","Advertiser Sub ID 3","Advertiser Sub ID 4","Advertiser Sub ID 5"
556419841,,"2025-08-25 14:33:32","2025-08-25 16:10:32","TikTok Shop ID - CPS",-,580123947220436391,2.84,0.08,MKK_74,Pending,,TTS,ID,DSP,kk02,1729671470671825759,"(KIM) Tirai Kamar Mandi Kualitas Peva Tebal Anti Air Two Tone Color 183 x 183 cm Shower",1729671471245265759,Kim82
556436226,,"2025-08-25 08:57:41","2025-08-25 16:46:09","TikTok Shop ID - CPS",-,580120154920028091,0.32,0.01,MP,Pending,,,,,,1729747798838969546,"Dispenser Tape 2 Inch/48mm Panjang Max 100 Yard - Tempat Lakban Motto Tape",1729747827816236234,"Motto Pack Indonesia"
556537861,,"2025-08-25 23:52:47","2025-08-26 02:18:46","TikTok Shop ID - CPS",-,580130534463145573,0.35,0.01,MKK,Pending,,,,,,1729744549256267163,"HAIR TONIC RAMBUT VITAMIN RAMBUT PENUMBUH DAN PELURUS RAMBUT PRIA WANITA HAIRTONIC Meluruskan Menumbuhkan rambut bebas ketombe",1729744541088253339,"PERFECTMENS STORE"
556426759,,"2025-08-25 12:26:17","2025-08-25 16:25:10","TikTok Shop ID - CPS",-,580122369958184103,1.93,0.04,MP,Pending,,,,,,1730774468716299866,"new - 2 Set Tungku Tebal+Burner Rinnai/2 Set 2 Tungku Kaki 4 + 2 Burner",1730774563268691546,Deashop.id
556482056,,"2025-08-25 21:28:12","2025-08-25 21:46:38","TikTok Shop ID - CPS",-,580128698529907913,13.40,0.16,MP,Pending,,,,,,1729589110351759582,"Couple Kebaya Selendang Tulle Bordir Couple Pasangan Kebaya Modern Lamaran Couple Kemeja Batik Dewasa Katun Pendek Panjang",1729589110350973150,"ZENA KEBAYA."
556427784,,"2025-08-25 12:05:26","2025-08-25 16:27:28","TikTok Shop ID - CPS",-,580122144304498322,1.26,0.04,MKK_74,Pending,,TTS,ID,DSP,kk02,1731198682540836689,"LEM LAH KIE - Lem Sandal dan Sepatu Super Kuar Tahan Air, Perekat, Sealants dan Penambal - Lem Terbaik Untuk Semua Jenis Sepatu dan Sandal",1731198683292010321,"@Barang Berkualitas"
556434702,,"2025-08-25 09:31:29","2025-08-25 16:42:59","TikTok Shop ID - CPS",-,580120429560038795,6.07,0.32,MKK_74,Pending,,TTS,ID,DSP,kk02,1731638026685351519,"kotak penyimpanan anti bocor dan anti jatuh untuk celah mobil, aksesori interior mobil baru, Karet pengisi celah kursi mobil, kantong penyimpanan untuk celah, Penyimpanan multifungsi untuk barang-barang kecil di celah kursi mobil",1731637990465242719,gzorengdelight
556491536,,"2025-08-25 18:42:02","2025-08-25 22:09:51","TikTok Shop ID - CPS",-,580126667224745283,0.22,0.00,MP,Pending,,,,,,1729568653469517999,"handsock jempol polos / manset jempol polos nyaman",1729568653469124783,"Kedai Handsock"
556537873,,"2025-08-25 23:52:22","2025-08-26 02:18:47","TikTok Shop ID - CPS",-,580130533669898209,19.72,0.58,MP,Pending,,,,,,1730351803096270235,"ACMIC DIGIMAX 20000mAh Powerbank Mini 22.5W Fast Charging Type C",1729432941540510107,"ACMIC Indonesia"
556481553,,"2025-08-25 21:37:16","2025-08-25 21:45:17","TikTok Shop ID - CPS",-,580128887492216285,0.89,0.03,MKK_74,Pending,,TTS,ID,DSP,kk02,1731410171227964745,"Topi Pita Wanita Premium topi viral Outdoor Desain Unik dan Menarik Cocok untuk Tampil Modis dan Stylish dengan Harga Murah dan Kualitas Terjamin",1731410010583434569,Putradaffagrosir
556491537,,"2025-08-25 18:42:02","2025-08-25 22:09:51","TikTok Shop ID - CPS",-,580126667224745283,0.22,0.00,MP,Pending,,,,,,1729568653469190319,"handsock jempol polos / manset jempol polos nyaman",1729568653469124783,"Kedai Handsock"
556491538,,"2025-08-25 18:42:02","2025-08-25 22:09:51","TikTok Shop ID - CPS",-,580126667224745283,0.22,0.00,MP,Pending,,,,,,1729568653469255855,"handsock jempol polos / manset jempol polos nyaman",1729568653469124783,"Kedai Handsock"
556543766,,"2025-08-25 20:31:09","2025-08-26 02:30:56","TikTok Shop ID - CPS",-,580127967023367242,0.92,0.03,MP,Pending,,,,,,1731597845710537808,"【Gajah rumah】Sikat Botol Silikon Serbaguna + Lembut & Tidak Merusak + Mudah Dibersihkan + Cocok untuk Botol Susu & Gelas Anak",1731597827235284048,"Shin Kong"
556054806,,"2025-08-25 07:48:30","2025-08-25 08:50:18","TikTok Shop ID - CPS",-,580119649011336892,1.34,0.01,MP,Pending,,,,,,1729779330175567356,"Sabun Sayang Promo 6pcs 220gr Varian Random Rose Original Lavender",1729779442325227004,Grosiristar
556495639,,"2025-08-25 17:15:10","2025-08-25 22:19:28","TikTok Shop ID - CPS",-,580125741457311436,1.09,0.01,MP,Pending,,,,,,1729432122362661475,"Kemoceng 2,8 Meter Microfiber Magnet Debu Extendable Bisa Tekuk",1729432114488183395,greencosme
556053533,,"2025-08-25 08:31:14","2025-08-25 08:47:43","TikTok Shop ID - CPS",-,580119932098151814,4.31,0.25,MKK_74,Pending,,TTS,ID,DSP,kk02,1731351473660593906,"AINY BLOUSE JUMBO BORDIR POLOLINEN / BLOUSE SIMPEL ELEGANT KEKINIAN VIRAL",1731351281089742578,Zafarin
556541473,,"2025-08-25 22:25:18","2025-08-26 02:25:36","TikTok Shop ID - CPS",-,580129467622261813,0.18,0.01,MP,Pending,,,,,,1729613113238390177,"Kambangan Stopper Umpan untuk memancing Praktis dan Murah",1729613112996824481,"TIRTO PANCING"
556538402,,"2025-08-25 23:37:42","2025-08-26 02:19:51","TikTok Shop ID - CPS",-,580130360778393032,1.23,0.04,MKK_74,Pending,,TTS,ID,DSP,kk02,1730026438284904183,"( COD ) Celana Pendek Olahraga Pria dan Wanita lari futsal sport hitam nyaman volly gym renang",1730025115475412727,"THE QUEEN KOLOR"
556421419,,"2025-08-25 14:08:03","2025-08-25 16:13:18","TikTok Shop ID - CPS",-,580123634985174876,2.77,0.06,MKK,Pending,,,,,,1731707676217280207,"Boneka Anomali Tralalero tralala Mainan Boneka Viral Bahan Halus ada SNI Toys hadiah anak Dolls",1731707659034986191,unatoys
556419885,,"2025-08-25 14:32:58","2025-08-25 16:10:44","TikTok Shop ID - CPS",-,580123945962865969,1.20,0.00,MKK_73,Pending,,TTS,ID,DSP,kk01,1732126819979003324,"lip mattet azura tahan seharian warna nued  bisa di buat ombre",1732126789415765436,"Toko Sakinah barokah"
556497455,,"2025-08-25 16:39:52","2025-08-25 22:23:13","TikTok Shop ID - CPS",-,580125332872857232,1.84,0.04,MKK,Pending,,,,,,1729560675472344961,"Barbie Beauty Sunscreen Pelicin Wajah SCI Beauty Bpom Emboss Pemutihan SPF 30",1729460766638376833,"SEKARTAJI ID"
556424753,,"2025-08-25 13:03:30","2025-08-25 16:20:36","TikTok Shop ID - CPS",-,580122797016581935,2.34,0.06,MKK_74,Pending,,TTS,ID,DSP,kk02,1729924299887381255,"[CHALONESE] SUNSCREEN MOISTURIZER 1 SPF50 PA+++ Membantu Melindungi Kulit Wajah dari Paparan Sinar Matahari dan Tetap Terlihat Lembab",1729924291776056071,"CHALONESE 6 perawatan kulit"
556497461,,"2025-08-25 16:39:41","2025-08-25 22:23:13","TikTok Shop ID - CPS",-,580125366668920452,1.32,0.08,MP,Pending,,,,,,1730922496085951792,"COD rak serbaguna murah Rak Serbaguna Dengan AsriLiving Roda Rak KamarMandi Square Rak Persegi Dapur Plastik 4 Susun",1730922320543712560,AsriLiving
556057909,,"2025-08-25 04:10:34","2025-08-25 08:56:49","TikTok Shop ID - CPS",-,580118924793448032,4.23,0.15,MP,Pending,,,,,,1731388313906808614,"COD [Pengiriman Rahasia]  Baju tidur suspender renda seksi gaya Cina / piyama cetak porselen biru dan putih / pakaian rumah sutra es lembut (dengan bantalan dada)",1731388319183832870,"UNINICE Sports Shop"
556545847,,"2025-08-25 23:09:18","2025-08-26 02:43:23","TikTok Shop MY - CPS",-,580130071976576337,11.83,0.41,MKK_76,Pending,,TTS,MY,DSP,kk04,1732148444073985323,"【Buy 1 Take 1】MediCube Zero Pore One Day Cream 50ml – Tightening & Lifting Moisture Gel Oily Skin Korean skincare",1732148411993851179,"Malaysia-medicube store"
556483898,,"2025-08-25 20:56:24","2025-08-25 21:50:51","TikTok Shop ID - CPS",-,580128297168832492,1.45,0.02,MP,Pending,,,,,,1729881448064715491,"[COD] STAND HOLDER HP / PEGANGAN HP DI RUMAH 2 IN 1 LIVE STREAMING",1729881448064649955,"Mantap Jaya Acc"
556489276,,"2025-08-25 19:25:47","2025-08-25 22:04:10","TikTok Shop ID - CPS",-,580127160749819444,1.84,0.03,MKK_75,Pending,,TTS,ID,DSP,kk03,1729382368526238962,"[Official] PINKFLASH # OhMyself  Pengontrol Minyak Matte Loose Powder  Tahan air Oil Kontrol minyak Tahan sepanjang hari 3Colors PFF06 berminyak cover Hitam Wajah",1729382368524862706,"PINKFLASH STORE"
556429631,,"2025-08-25 11:24:55","2025-08-25 16:31:46","TikTok Shop ID - CPS",-,580121649521001629,6.46,0.29,MKK_73,Pending,,TTS,ID,DSP,kk01,1731810710896281568,"1 Pouch HealthyGrain Minuman Oat Multigrain Instan Bantu Masalah Hipertensi",1731810847257298912,Naislife
556426560,,"2025-08-25 12:30:10","2025-08-25 16:24:40","TikTok Shop ID - CPS",-,580122395335362168,3.14,0.07,MKK_74,Pending,,TTS,ID,DSP,kk02,1729614232804559095,"Topi Baseball Brave Import Fashion Pria Wanita Unisex Dewasa.",1729614232804296951,"Wearme real"
