"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540261647,"2025-07-27 22:46:03","2025-07-28 15:49:50","Shopee PH - CPS","207326763233042 | 2507279GA9PNX3",0.00,0.00,MP,Pending,
540261643,"2025-07-27 22:46:03","2025-07-28 15:49:49","Shopee PH - CPS","207326763233042 | 2507279GA9PNX3",1.36,0.01,MP,Pending,
540183895,"2025-07-27 22:44:46","2025-07-28 14:52:50","Shopee PH - CPS","207326686262941 | 2507279G809GQN",9.17,0.12,MP,Pending,
540259347,"2025-07-27 22:43:37","2025-07-28 15:46:22","Shopee PH - CPS","207326617248882 | 2507279G5XF7NR",1.14,0.01,MP,Pending,
540259415,"2025-07-27 22:41:50","2025-07-28 15:46:27","Shopee PH - CPS","207326509233555 | 2507279G2QF1DX",23.78,0.22,MP,Pending,
540259554,"2025-07-27 22:39:20","2025-07-28 15:46:37","Shopee PH - CPS","207326360296025 | 2507279FX9DT8R",4.90,0.06,MP,Pending,
540259620,"2025-07-27 22:38:14","2025-07-28 15:46:42","Shopee PH - CPS","207326293282855 | 2507279FV9GT51",1.84,0.02,MP,Pending,
540259941,"2025-07-27 22:33:09","2025-07-28 15:47:07","Shopee PH - CPS","207325989215776 | 2507279FK7H9FG",1.15,0.01,MP,Pending,
540259937,"2025-07-27 22:33:09","2025-07-28 15:47:07","Shopee PH - CPS","207325989215776 | 2507279FK7H9FG",0.86,0.01,MP,Pending,
540259934,"2025-07-27 22:33:09","2025-07-28 15:47:07","Shopee PH - CPS","207325989215776 | 2507279FK7H9FH",2.78,0.03,MP,Pending,
540259932,"2025-07-27 22:33:09","2025-07-28 15:47:07","Shopee PH - CPS","207325989215776 | 2507279FK7H9FJ",3.31,0.04,MP,Pending,
540260041,"2025-07-27 22:32:07","2025-07-28 15:47:16","Shopee PH - CPS","207325927209273 | 2507279FHCCYDQ",1.91,0.02,MP,Pending,
540260116,"2025-07-27 22:30:00","2025-07-28 15:47:24","Shopee PH - CPS","207325799259020 | 2507279FDJC6TA",1.77,0.02,MP,Pending,
