Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,adn_test,aff_sub,aff_sub2,aff_sub3,aff_sub4,aff_sub5
Face-MG,966,Shopee ID NON KOL,209405652243491,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:14:00,--,Buku & Alat Tulis,250821BSSC45GF_p-i.1122641216.19795592545_260262902991_Label+%26+Stiker,4331.0,1,4331.0,61.00,195021648,108007,--,ERROR,3,2025-08-21 22:04:00,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=4331&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=61&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A14,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405652243491,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:14:00,--,Buku & Alat Tulis,250821BSSC45GF_p-i.1122641216.19795592545_260262902992_Label+%26+Stiker,4331.0,1,4331.0,61.00,195021642,108007,--,ERROR,3,2025-08-21 22:03:22,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=4331&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=61&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A14,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405652215461,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:14:00,--,Tas Pria,250821BSSC30BY_p-i.311282251.23287190227_148446928735_,119745.0,1,119745.0,1676.00,195021649,108007,--,ERROR,3,2025-08-21 21:57:40,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=119745&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=1676&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A14,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405652215461,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:14:00,--,Tas Pria,250821BSSC30BY_p-i.311282251.23287190227_148446928735_-AT1,59960.0,1,59960.0,839.00,195021650,108007,--,ERROR,3,2025-08-21 21:59:15,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=59960&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=839&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A14,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,2755706430490056701,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:13:00,--,Digital Nol,2755706430490056701_p-i.172223406.104599_0_TV+Kabel,320350.0,1,320350.0,0.00,195021665,108007,--,ERROR,3,2025-08-21 22:02:30,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=320350&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=0&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A13,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405597238001,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:13:00,--,Aksesoris Fashion,250821BSQQN95M_p-i.1556377830.40411790696_275988104813_,79999.0,1,79999.0,1120.00,195021689,108007,--,ERROR,3,2025-08-21 21:59:16,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=79999&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=1120&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A13,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405579286802,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:13:00,--,Perlengkapan Rumah,250821BSQ6HHAC_p-i.50219513.20527805425_155288944253_Handuk+Mandi+%26+Kimono,341910.0,1,341910.0,4787.00,195021699,108007,--,ERROR,3,2025-08-21 22:03:16,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=341910&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=4787&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A13,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405533272941,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:12:00,--,Fashion Muslim,250821BSNTNF16_p-i.584562098.22327419688_231067648370_Peci+Songkok+%26+Kopiah,2449.0,1,2449.0,34.00,195021723,108007,--,ERROR,3,2025-08-21 21:58:23,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=2449&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=34&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A12,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405509274978,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:11:00,--,Pakaian Pria,250821BSN3RYGX_p-i.266427878.14640705326_245078574247_Kaos,68351.0,1,68351.0,957.00,195021738,108007,--,ERROR,3,2025-08-21 21:59:22,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=68351&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=957&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A11,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
Face-MG,966,Shopee ID NON KOL,209405509274978,existing-indirect,PENDING,2025-08-15 15:23:10,2025-08-20 23:11:00,--,Pakaian Pria,250821BSN3RYGX_p-i.266427878.14640705326_245078574249_Kaos,41223.0,1,41223.0,577.00,195021739,108007,--,ERROR,3,2025-08-21 21:59:19,http://bytecmedia.leadsconv.com/conversion?adn_test=1&usd_sale_amount=41223&conversion_id=30&aff_sub=DL&aff_sub2=Shopee&aff_sub3=ID&usd_payout=577&aff_sub4=XIAOMI&offer_name=Shopee+ID+NON+KOL&aff_sub5=PUSH&datetime_conversion=2025-08-20T23%3A11,23.137.84.56,United States,Detroit,"Mozilla/5.0 (Linux; Android 14; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.93 Mobile Safari/537.36",ANDROID,Samsung,Chrome,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,DL,Shopee,ID,XIAOMI,PUSH
