Site,Identitas Campaign,Nama Campaign,Id Transaksi,Tipe Konsumen,Status,Waktu Klik,Waktu Konversi,Waktu Konfirmasi,Category ID,Product ID,Harga/unit,Jumlah,Harga Total,Jumlah Komisi,Id Konversi,Creative ID,SessionID,Status Postback,Hitungan Error Postback,Waktu Postback,URL Postback,Alamat IP,Negara,Kota,Agen Pengguna,Tipe Peraga,Merek Peraga,Browser,Bahasa,Domain Rujukan,URL Rujukan,utm_source,utm_medium,utm_content,utm_campaign,utm_term,target_age,target_gender,target_interest,target_marital_status,target_parental_status,target_education,target_employment,target_life_event,target_homeownership,target_income,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8,opt_9,opt_10,aff_sub,aff_sub2,aff_sub3
garybu0801,966,Shopee ID NON KOL,209751480229297,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:18:00,--,Fashion Bayi & Anak,250825NUUUCDAR_p-i.165307362.25436674393_205434616343_Set,137520.0,1,137520.0,1925.00,195451868,108007,--,NOT_NEEDED,0,2025-08-25 21:44:39,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=137520&conv_status=0&adn_country=United+States&conv_revenue=1925&conv_time=2025-08-24T23%3A18&adn_d_brand=unknown&adv_s1=Fashion+Bayi+%26+Anak&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195451868&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209751416260236,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:17:00,--,Sepatu Pria,250825NUSXCDWF_p-i.832417123.28528856069_215857790911_,26000.0,1,26000.0,364.00,195451903,108007,--,NOT_NEEDED,0,2025-08-25 21:47:25,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=26000&conv_status=0&adn_country=United+States&conv_revenue=364&conv_time=2025-08-24T23%3A17&adn_d_brand=unknown&adv_s1=Sepatu+Pria&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195451903&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209751111275307,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:11:00,--,Handphone & Aksesoris,250825NUGUH3FH_p-i.1146024123.26416810395_205533794888_Kabel+Charger+%26+Konverter,28250.0,1,28250.0,396.00,195452135,108007,--,NOT_NEEDED,0,2025-08-25 21:42:50,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=28250&conv_status=0&adn_country=United+States&conv_revenue=396&conv_time=2025-08-24T23%3A11&adn_d_brand=unknown&adv_s1=Handphone+%26+Aksesoris&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452135&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750774292908,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 23:06:00,--,Ibu & Bayi,250825NU6T56C7_p-i.5497358.75109863_1895626382_Perlengkapan+Botol+Susu,15300.0,1,15300.0,214.00,195452360,108007,--,NOT_NEEDED,0,2025-08-25 21:13:45,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=15300&conv_status=0&adn_country=United+States&conv_revenue=214&conv_time=2025-08-24T23%3A06&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195452360&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
garybu0801,966,Shopee ID NON KOL,209750584217868,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:03:00,--,Fashion Bayi & Anak,250825NU14VAR4_p-i.367887751.3776500500_226083537981_Pakaian+Dalam,14866.0,1,14866.0,208.00,195452491,108007,--,NOT_NEEDED,0,2025-08-25 22:27:33,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=14866&conv_status=0&adn_country=United+States&conv_revenue=208&conv_time=2025-08-24T23%3A03&adn_d_brand=unknown&adv_s1=Fashion+Bayi+%26+Anak&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452491&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750584217868,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:03:00,--,Perawatan & Kecantikan,250825NU14VAR5_p-i.48382819.23686192980_255019021114_Body+Cream+Body+Lotion+%26+Body+Butter,3898.0,1,3898.0,55.00,195452490,108007,--,NOT_NEEDED,0,2025-08-25 21:46:26,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=3898&conv_status=0&adn_country=United+States&conv_revenue=55&conv_time=2025-08-24T23%3A03&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452490&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750584217868,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:03:00,--,Perawatan & Kecantikan,250825NU14VAR6_p-i.4136075.25052694984_79573311832_Kosmetik+Bibir,17585.0,1,17585.0,246.00,195452489,108007,--,NOT_NEEDED,0,2025-08-25 21:45:57,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=17585&conv_status=0&adn_country=United+States&conv_revenue=246&conv_time=2025-08-24T23%3A03&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452489&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750584217868,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:03:00,--,Perawatan & Kecantikan,250825NU14VAR7_p-i.30465371.26957091665_251324782116_Kosmetik+Wajah,26332.0,1,26332.0,369.00,195452488,108007,--,NOT_NEEDED,0,2025-08-25 21:45:57,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=26332&conv_status=0&adn_country=United+States&conv_revenue=369&conv_time=2025-08-24T23%3A03&adn_d_brand=unknown&adv_s1=Perawatan+%26+Kecantikan&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452488&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750449220646,existing-indirect,PENDING,2025-07-30 08:58:16,2025-08-24 23:00:00,--,Ibu & Bayi,250825NTW44TCM_p-i.1295790074.27662107352_218316227348_Perlak,29951.0,1,29951.0,419.00,195452639,108007,--,NOT_NEEDED,0,2025-08-25 21:46:43,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=29951&conv_status=0&adn_country=United+States&conv_revenue=419&conv_time=2025-08-24T23%3A00&adn_d_brand=unknown&adv_s1=Ibu+%26+Bayi&action_id=30&aff_sub=A_OEM2_VIVO_PUSH_AUG&traffic_time=2025-07-30T08%3A58%3A16&order_id=195452639&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM2_VIVO_PUSH_AUG,--,--
garybu0801,966,Shopee ID NON KOL,209750344283002,existing-indirect,PENDING,2025-07-24 17:33:13,2025-08-24 22:59:00,--,Perlengkapan Rumah,250824NTT02EKJ_p-i.1580280151.40507779827_208591461641_Perawatan+Pakaian,30000.0,1,30000.0,420.00,195452723,108007,--,NOT_NEEDED,0,2025-08-25 22:13:35,http://bytecmedia.leadsconv.com/conversion?adv_sys=accesstradebytec&adn_city=Clifton&usd_sale_amount=30000&conv_status=0&adn_country=United+States&conv_revenue=420&conv_time=2025-08-24T22%3A59&adn_d_brand=unknown&adv_s1=Perlengkapan+Rumah&action_id=30&aff_sub=A_OEM3_OPPO_PUSH_01&traffic_time=2025-07-24T17%3A33%3A13&aff_sub2=%7Bmedia_id%7D&aff_sub3=%7Bclick_id%7D&order_id=195452723&adn_d_type=DESKTOP,142.93.176.189,United States,Clifton,Mozilla/5.0 (Windows NT 6.1; rv:11.0) Gecko/20100101 Firefox/11.0,DESKTOP,unknown,Firefox,English,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,A_OEM3_OPPO_PUSH_01,{media_id},{click_id}
